lambda3  WH            WH/MH      WA            WA/MA       Wa            WHc           Xsec        Xsec*3000/fb
0.1      1.775266e+01  0.0355053  2.557695e+00  0.0111204   3.742552e+00  1.878576e+01  1.8916e-06  5.6748
0.5      1.814572e+01  0.0362914  2.101558e+00  0.00913721  3.742552e+00  1.878576e+01  3.925e-06   11.775
1        2.386217e+01  0.0477243  1.606106e+00  0.00698307  3.742552e+00  1.878573e+01  2.2154e-05  66.462
2        5.274627e+01  0.105493   8.642637e-01  0.00375767  3.742552e+00  1.878853e+01  1.9312e-05  57.936
3        1.048816e+02  0.209763   4.545046e-01  0.00197611  3.742552e+00  1.879170e+01  4.959e-07   1.4877
3.6      1.473234e+02  0.294647   3.680491e-01  0.00160021  3.742552e+00  1.879325e+01  3.385e-08   0.10155
3.8      1.633307e+02  0.326661   3.657973e-01  0.00159042  3.742552e+00  1.879364e+01  5.8044e-07  1.74132
4        1.802681e+02  0.360536   3.768287e-01  0.00163839  3.742552e+00  1.879394e+01  2.7545e-06  8.2635
5        2.789059e+02  0.557812   6.312359e-01  0.0027445   3.742552e+00  1.879436e+01  4.3011e-05  129.033
6        4.007949e+02  0.80159    1.217726e+00  0.00529446  3.742552e+00  1.879350e+01  6.7088e-05  201.264
